empresa_raw,channel_code,n_estadias
FES,UNKNOWN,1
SAN LORENZO TOURS,AGENCIA,1
FAUTAPO,UNKNOWN,1
BOLIVIA,UNKNOWN,1
CAMARA HOTELERA,UNKNOWN,1
INDEPENDIENTE PETROLERO,UNKNOWN,1
CASA DE LA LIBERTAD,EMPRESA,1
COSUDE,EMPRESA,1
AMIGO DE LA LIC.,REFERIDO,1
CAJA BANCARIA,EMPRESA,1
ENRIQUE ASOCIADOS,UNKNOWN,1
VIVA-NUEVATEL,AGENCIA,1
CEPI,UNKNOWN,1
PETI,UNKNOWN,1
EUDON,UNKNOWN,1
PARADOR SANTA MARIA,UNKNOWN,1
VIOTEC,UNKNOWN,1
BIOTECH BOLIVIA LTD.,UNKNOWN,1
PARTICUAR,UNKNOWN,1
SOC.IN.EMATOLO,UNKNOWN,1
AUSPICIO,UNKNOWN,1
TOYOSA S.A,EMPRESA,1
CAJA PRIVADA SALUD,EMPRESA,1
EX ALCALDE TARIJA,UNKNOWN,1
UNNAMED: 11,UNKNOWN,1
UNIVERSIDAD ANDINA,EMPRESA,1
NOCHE DE BODAS + SALON,EVENTO,1
EMBAJADA DEL JAPON,UNKNOWN,1
DEPOSITO,NOISE,1
EN TATJETA,UNKNOWN,1
TARY EFEC,UNKNOWN,1
VIP,UNKNOWN,1
EFECITIVO (600),UNKNOWN,1
TARJETA (370),NOISE,1
TRANSFER OUT,UNKNOWN,1
DEPOSITO BANCARIO,NOISE,1
PAGARA C/ TARJETA,UNKNOWN,1
TARJETA/EFECTIVO,NOISE,1
POR COBRAR,UNKNOWN,1
STALYC,UNKNOWN,1
.,UNKNOWN,1
ESCUELA BIOQUIMICA,UNKNOWN,1
FOTOGRAFO,UNKNOWN,1
TELETON SOLIDARIO,UNKNOWN,1
TOURICO HOLIDAYS,AGENCIA,1
COLG.ARQUITECTOS,UNKNOWN,1
ARQUITECTURA,UNKNOWN,1
FOAM,UNKNOWN,1
AMENITIES,UNKNOWN,1
PANAMERICAN,UNKNOWN,1
UNIBROSA,UNKNOWN,1
B. MERCANTIL S.C,UNKNOWN,1
AGE. SARAÑANI,UNKNOWN,1
MERCANTIL S.C.,UNKNOWN,1
WALK-IN,DIRECTO,1
FACULTAD DE ARQUITECTURA,UNKNOWN,1
ROTARY,UNKNOWN,1
F.S.D.D,UNKNOWN,1
SAX,UNKNOWN,1
UPSA,UNKNOWN,1
PARTICULAR / BCO ECONOMICO,DIRECTO,1
CASOBRA,UNKNOWN,1
MERCANTIL SCZ,UNKNOWN,1
PARTICULAR / WILSTERMAN,DIRECTO,1
B. DE CREDITO,UNKNOWN,1
B DE CREDITO,UNKNOWN,1
PIL ANDINA CBBA,EMPRESA,1
B.ECONOMICO,UNKNOWN,1
LAB. ROCHE,UNKNOWN,1
ANADVENTURE,UNKNOWN,1
IRP,UNKNOWN,1
SUREÑA,UNKNOWN,1
VITALICIA SEGUROS,EMPRESA,1
RUTAS DEL SUR,UNKNOWN,1
AMIGO DE ARQ.,REFERIDO,1
PARTICULAR/ CASOBRAL,DIRECTO,1
RED UNO,UNKNOWN,1
STAR INFINITE,UNKNOWN,1
NUEVATEL / VIVA,AGENCIA,1
BANCO MERCANTIL S.C.,EMPRESA,1
POSGRADO CH,UNKNOWN,1
GO ON COM.,UNKNOWN,1
DANIELA AYLLÓN,UNKNOWN,1
PIL CBBA,EMPRESA,1
ONG REALIDADES,EMPRESA,1
COLEGIO DE ODONTOLOGOS,UNKNOWN,1
PLASTIFORTE,UNKNOWN,1
CRUZ ROJA,UNKNOWN,1
CONSUL COSTA RICA,UNKNOWN,1
EMBAJADA URUGUAY,UNKNOWN,1
EMBAJADA PARAGUAY,UNKNOWN,1
EMBAJADA VENEZUELA,UNKNOWN,1
DELEGACIÓN PERÚ,UNKNOWN,1
CONSUL MEXICO,UNKNOWN,1
CONSUL COLOMBIA,UNKNOWN,1
CONSUL ECUADOR,UNKNOWN,1
EMBAJADA DE VENEZUELA,UNKNOWN,1
TRIB. CONSTIT. PLURIN.,UNKNOWN,1
BCD TRAVEL,AGENCIA,1
BANCO ECONÓMICO,EMPRESA,1
PARTICULAR (COE),DIRECTO,1
INBOLTECO,UNKNOWN,1
SCHOLARS AT RISK NET,UNKNOWN,1
END SEX TRAFFICKING,UNKNOWN,1
LAB IFA,UNKNOWN,1
UNICEF,UNKNOWN,1
STROLLON,UNKNOWN,1
MAXIKING,UNKNOWN,1
INVITADA LIC NATY,REFERIDO,1
CIMAL,UNKNOWN,1
MODELO,UNKNOWN,1
DELEGACION JAPON,UNKNOWN,1
PARTIICULAR,UNKNOWN,1
SOUTH AMERICA PLANET,UNKNOWN,1
ENVIBOL,UNKNOWN,1
